,line,Phrasal_Cmp,Clausal_Cmp,Implicit_Cmp,More_Cmp,ER_Cmp,answer_id,level_id,class_id,question_id,version,text_len,sentence_len,COLA_T5large,gpt2_target_surprisal,distilgpt2_target_surprisal,gptneo_target_surprisal,davinci002_target_surprisal,llama2_target_surprisal,gpt2_sent_surprisal,distilgpt2_sent_surprisal,gptneo_sent_surprisal,davinci002_sent_surprisal,llama2_sent_surprisal,gpt2_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,tag,Writing_Sample,Writing_Proficiency,target_issue_flag
162,162,1,0,0,1,0,3958,5,g,469,1,194,12,0,5.2,4.85,5.36,3.494,4.18,3.16,3.41,3.11,4.44,3.74,13,13,13,,2.7,low,
163,163,0,0,1,1,0,3958,5,g,469,1,194,11,1,10.58,9.84,10.66,6.407,11.61,4.21,4.74,4.4,4.93,5.15,10,10,10,,2.7,low,
164,164,1,0,0,1,0,4566,5,w,551,1,587,11,1,7.67,8.03,7.34,5.055,6.97,3.41,3.4,3.62,4.94,4.17,10,10,10,0,2.7,low,
165,165,0,0,1,1,0,4566,5,w,551,1,587,11,1,4.61,4.91,4.62,0.012,10.24,4.22,4.72,3.5,4.2,3.99,11,11,11,,2.7,low,
166,166,1,0,0,1,0,4566,5,w,551,1,587,14,1,7.33,7.63,7.64,4.897,5.9,4.73,4.91,4.81,5.61,4.44,13,13,13,0,2.7,low,
167,167,0,0,1,1,0,4566,5,w,551,1,587,14,1,12.12,12.28,11.64,7.768,11.96,4.03,4.58,3.71,3.89,3.43,14,14,14,,2.7,low,
168,168,0,0,1,0,1,4566,5,w,551,1,587,12,1,12.36,12.44,13.24,9.119,11.54,3.79,4.22,3.92,4.24,3.96,12,12,12,,2.7,low,
169,169,0,0,1,0,1,4566,5,w,551,1,587,12,0,17.56,16.98,17.37,,14.86,5.57,6.05,5.16,,4.73,13,13,13,,2.7,low,
170,170,0,0,1,1,0,4566,5,w,551,1,587,9,1,4.49,5.69,5.32,,0,5.34,5.78,5.53,,5.13,9,9,9,,2.7,low,FLAGGED
171,171,0,0,1,1,0,5021,5,w,607,1,653,7,0,1.83,1.79,1.77,1.653,2.69,7.1,7.74,6.47,6.33,4.77,6,6,6,,2.7,low,
172,172,1,0,0,1,0,5021,5,w,607,1,653,11,1,6.93,8.13,5.87,4.124,7.79,4.43,5.37,4.27,4.68,4.29,10,10,10,0,2.7,low,
173,173,1,0,0,1,0,5021,5,w,607,1,653,19,0,8.35,9.1,8.01,5.112,8.12,4.53,4.76,4.19,4.23,3.98,18,18,18,,2.7,low,
174,174,0,0,1,1,0,5214,5,w,655,1,636,7,1,2.51,2.7,2.27,1.623,2.3,4.6,5.71,4.55,5.02,3.85,7,7,7,,2.7,low,
175,175,1,0,0,1,0,5214,5,w,655,1,636,12,1,8.1,8.82,7.41,5.179,8.3,3.62,4.23,3.37,3.97,3.54,11,11,11,0,2.7,low,
176,176,1,0,0,1,0,5214,5,w,655,1,636,19,1,6.76,8.9,5.7,1.014,7.61,4.11,4.42,3.58,3.63,3.38,19,19,19,0,2.7,low,
177,177,0,0,1,0,1,2566,4,w,291,1,135,16,1,12.5,18.28,12.02,,17.4,4.87,5.3,4.8,,4.75,15,15,15,,3.8,high,
178,178,0,0,1,0,1,3106,4,w,354,1,290,19,1,12.5,18.28,12.02,,17.4,4.16,4.64,3.92,,3.88,21,21,21,,3.8,high,
179,179,0,0,1,1,0,3927,4,r,460,1,206,17,1,4.16,4.66,5.33,3.334,4.27,3.08,3.34,2.99,3.02,2.92,19,19,19,,3.8,high,
180,180,0,0,1,0,1,3975,4,r,461,1,707,20,1,11.52,14.01,12.93,5.091,7.03,3.39,4.04,3.41,3.56,3.24,24,24,24,,3.8,high,
181,181,0,0,1,0,1,4676,4,g,587,1,71,13,0,9.72,11.57,12.47,5.925,9.75,4.89,5.38,5.41,4.59,4.42,15,15,15,,3.8,high,
182,182,0,0,1,0,1,4676,4,g,587,1,71,16,1,5.17,6.35,3.18,2.895,2.17,3.89,4.24,4.14,3.94,3.83,17,17,17,,3.8,high,
183,183,0,0,1,1,0,12254,5,g,1740,2,259,18,1,4.57,6.34,4.92,4.234,6.28,4.4,5.09,4.24,4.39,4.28,20,20,20,,3.8,high,
184,184,0,0,1,1,0,13279,5,g,1885,1,332,13,0,1.53,3.53,0.8,0.456,0.75,4.51,4.69,3.9,4.65,4.64,12,12,12,,3.8,high,
185,185,0,0,1,1,0,13279,5,g,1885,1,332,14,1,5.15,4.79,4.65,2.387,4.45,3.54,3.98,3.36,3.67,3.43,14,14,14,,3.8,high,
186,186,0,0,1,1,0,13279,5,g,1885,1,332,9,0,9.26,11.47,10.89,6.018,7.86,4.92,5.35,5,4.29,4.23,9,9,9,,3.8,high,
187,187,0,0,1,1,0,13279,5,g,1885,1,332,15,0,3.42,4.5,5.46,5.417,7.91,4.63,4.89,4.75,4.82,5.11,15,15,15,,3.8,high,
188,188,0,0,1,1,0,13279,5,g,1885,1,332,14,1,1.64,3.74,1.35,0.503,0.62,3.74,4.24,3.19,3.18,3.01,16,16,16,,3.8,high,
189,189,0,0,1,1,0,18157,5,w,2497,1,59,13,1,1.85,1.8,2.22,1.419,2.76,5.22,5.29,4.86,5.03,5.39,12,12,12,,3.8,high,
190,190,0,0,1,1,0,3419,3,g,402,1,105,11,1,9.26,8.63,9.89,7.264,9.36,4.81,5.28,4.78,4.76,5.23,11,11,11,,2,low,
191,191,0,0,1,0,1,3849,3,g,444,1,168,20,1,7.26,8.07,5.73,4.394,4.37,4.15,4.89,4.01,3.94,4.07,20,20,20,,2,low,
192,192,0,0,1,0,1,3849,3,g,444,1,168,11,1,3.81,6.29,2.17,3.73,0.69,4.84,5.31,4.55,5.83,5.27,12,12,12,,2,low,
193,193,0,0,1,0,1,3849,3,g,444,1,168,12,0,8.98,9.31,8.7,5.986,10.1,5.28,5.56,4.85,5.56,5.08,11,11,11,,2,low,
194,194,0,0,1,1,0,3849,3,g,444,1,168,15,0,6,5.48,7.39,5.64,6.61,5.87,6.4,5.02,5.19,4.89,15,15,15,,2,low,
195,195,0,0,1,1,0,4074,3,g,492,1,107,10,1,12.61,12.49,12.21,12.434,14.59,4.05,4.71,4.12,4.73,4.1,9,9,9,,2,low,
196,196,1,0,0,0,1,4051,4,g,473,1,55,16,0,11.14,11.52,11.39,7.996,12.3,4.58,5.11,4.57,4.39,3.88,15,15,15,,4,high,
197,197,1,0,0,0,1,4051,4,g,473,1,55,11,1,9.85,11.5,8.96,6.669,10.37,4.8,5.18,4.81,5.09,5.08,10,10,10,0,4,high,
198,198,0,0,1,0,1,7473,5,w,1138,1,65,11,0,3.58,4.2,3.92,,2.05,6.46,6.54,6.27,,5.81,13,13,13,,4,high,
199,199,0,0,1,1,0,11232,5,w,1640,1,135,12,1,0,0.01,0.02,0.04,0.02,4.98,5.5,4.95,5.42,4.95,12,12,12,,4,high,
200,200,0,0,1,1,0,6194,4,w,976,2,294,12,0,1.82,1.74,1.91,,1.44,4.38,5.54,3.41,,4.34,14,14,14,,2.8,low,
201,201,1,0,0,1,0,6194,4,w,976,2,294,15,1,6.64,6.19,5.96,,6.92,4.2,5.07,4.1,,3.92,16,16,16,0,2.8,low,
202,202,0,0,1,1,0,6687,4,w,976,3,303,12,0,1.82,1.74,1.91,1.24,1.44,3.38,4.08,3.31,3.48,4.01,11,11,11,,2.8,low,
203,203,1,0,0,1,0,6687,4,w,976,3,303,15,1,6.64,6.19,5.96,4.252,6.92,3.83,4.35,3.64,3.83,3.72,15,15,15,0,2.8,low,
204,204,0,0,1,1,0,6195,4,g,981,1,128,18,1,3.5,3.66,2.84,1.721,2.81,3.92,4.05,3.8,3.75,3.84,18,18,18,,2.8,low,
205,205,0,0,1,1,0,7798,4,r,1169,1,58,18,0,11.02,11.23,11.1,6.562,10.92,4.75,4.95,4.53,4.59,4.88,18,18,18,,2.8,low,
206,206,0,0,1,0,1,11505,4,g,1670,1,115,15,0,4,6.9,6.64,3.373,5.04,5.04,5.22,5.07,5.39,5.02,15,15,15,,2.8,low,
207,207,0,0,1,0,1,11575,4,g,1670,2,116,15,0,4,6.9,6.64,3.373,5.04,4.26,4.69,4.39,4.99,4.78,15,15,15,,2.8,low,
208,208,0,0,1,1,0,13984,5,w,1893,1,268,13,0,9.01,9.47,9.9,6.056,10.33,4.01,4.44,3.74,4.23,4.46,12,12,12,,2.8,low,
209,209,0,0,1,1,0,13989,5,w,1896,1,799,11,1,9.09,9.38,8.48,,8.95,5.09,5.24,4.69,,4.83,14,14,14,,2.8,low,
210,210,0,0,1,1,0,13983,5,w,1897,1,801,12,1,7.4,8.86,6.61,4.28,7.07,3.86,4.27,3.43,3.09,3.55,14,14,14,,2.8,low,
211,211,1,0,0,0,1,14318,5,w,1898,1,740,20,0,4.27,2.93,2.73,2.086,3.47,4.16,4.62,4,4.08,3.49,25,25,25,,2.8,low,
212,212,1,0,0,1,0,14318,5,w,1898,1,740,14,1,7.5,7.87,6.84,3.505,5.98,3.81,4.32,3.61,4.13,3.76,16,16,16,0,2.8,low,
213,213,0,0,1,1,0,14318,5,w,1898,1,740,15,1,4.81,4.13,4.05,2.793,5.03,4.02,4.45,3.67,3.77,3.73,18,18,18,,2.8,low,
214,214,1,0,0,1,0,14318,5,w,1898,1,740,20,0,1.99,2.35,0.92,0.933,1.6,4.51,4.77,3.9,3.76,3.74,26,26,26,,2.8,low,
215,215,0,0,1,1,0,14317,5,w,1899,3,710,16,1,4.69,5.06,4.45,2.647,5.24,3.95,4.45,3.85,3.78,3.89,19,19,19,,2.8,low,
216,216,0,0,1,1,0,14317,5,w,1899,3,710,19,0,3.63,3.37,4.99,3.204,4.81,4.87,5.03,4.62,4.97,4.86,19,19,19,,2.8,low,
217,217,0,0,1,0,1,6213,4,w,976,2,118,5,1,14.32,13.44,16.14,10.357,8.65,6.28,7.75,6.08,6.48,5.67,4,4,4,,2.8,low,
218,218,0,0,1,0,1,6202,4,g,981,1,177,16,0,11,11.45,10.03,7.04,10.86,5.36,5.69,4.96,5.4,5,16,16,16,,2.8,low,
219,219,0,0,1,1,0,6202,4,g,981,1,177,16,1,5.52,4.13,5.99,,4.93,5.58,6.01,5.39,,4.74,17,17,17,,2.8,low,
220,220,0,0,1,1,0,6202,4,g,981,1,177,14,1,3.37,4.95,4.44,1.61,2.05,3.35,3.88,3.3,4.13,3.44,16,16,16,,2.8,low,
221,221,0,0,1,1,0,6202,4,g,981,1,177,16,1,6.02,5.68,7.45,5.835,9.25,4.97,5.38,4.72,5.02,4.39,16,16,16,,2.8,low,
222,222,1,0,0,1,0,6202,4,g,981,1,177,10,1,4.93,5.05,6.34,4.214,5.21,4,4.64,3.75,4.65,5.1,9,9,9,0,2.8,low,
223,223,0,0,1,1,0,6449,4,r,1002,1,85,14,0,8.94,6.47,5.88,,9.97,6.09,6.19,5.48,,5.56,20,20,20,,2.8,low,
224,224,0,0,1,1,0,6611,4,g,1037,1,94,12,1,10.18,6.7,7.22,4.069,5.19,4.62,4.75,4.34,4.63,4.85,11,11,11,,2.8,low,
225,225,0,0,1,0,1,6611,4,g,1037,1,94,17,1,12.52,12.98,12.51,9.388,11.35,4.33,4.76,4.03,4.37,4,16,16,16,,2.8,low,
226,226,0,0,1,1,0,6945,4,g,1076,1,93,12,1,4.57,4.96,4.24,3.006,4.8,4.03,4.41,3.8,4.15,4.51,11,11,11,,2.8,low,
227,227,0,0,1,0,1,6945,4,g,1076,1,93,16,1,13.76,13.95,12.97,8.98,11.55,4.4,5.08,3.98,4.48,4,15,15,15,,2.8,low,
228,228,0,0,1,0,1,7632,4,g,1119,1,159,13,1,5.31,9.82,8.82,3.347,6.6,3.6,4.07,3.67,4.25,4.1,13,13,13,,2.8,low,
229,229,0,0,1,1,0,7504,4,w,1129,1,476,9,1,4.12,4.6,2.61,0.014,6.6,4.29,5.09,3.95,3.79,3.56,10,10,10,,2.8,low,
230,230,0,0,1,0,1,7504,4,w,1129,1,476,19,0,5.76,6.49,6.24,,5.89,4.26,4.53,3.68,,3.86,21,21,21,,2.8,low,
231,231,0,0,1,1,0,7504,4,w,1129,1,476,12,1,5.02,6.41,5.21,0.449,11.7,4.11,4.33,4.43,4.88,4.76,12,12,12,,2.8,low,
232,232,1,0,0,1,0,7504,4,w,1129,1,476,16,1,8.53,8.28,8.93,5.911,8.55,4.2,4.6,4.15,4.35,4.73,16,16,16,0,2.8,low,
233,233,1,0,0,1,0,7504,4,w,1129,1,476,10,0,17.81,18.67,16.82,9.224,11.25,6.71,7.41,6.5,7.64,5.84,9,9,9,,2.8,low,
234,234,0,0,1,0,1,7636,4,w,1129,2,476,20,0,6.15,6.76,6.43,,5.82,4.21,4.39,3.7,,3.83,22,22,22,,2.8,low,
235,235,0,0,1,1,0,8485,4,w,1250,1,612,18,1,2.16,3.12,3.89,2.812,3.54,4.36,4.95,4.37,4.74,3.93,19,19,19,,2.8,low,
236,236,1,0,0,1,0,8485,4,w,1250,1,612,10,0,10.9,10.72,9.45,6.3,10.16,5.42,6.19,5,5.6,4.68,11,11,11,,2.8,low,
237,237,1,0,0,1,0,6151,4,w,980,1,13,11,1,10.82,10.45,11.23,,10.44,5.39,5.42,5.58,,4.27,19,19,19,0,3.5,high,
238,238,0,1,1,0,1,6648,4,w,1038,1,340,15,1,7.16,8.37,7.31,,5.68,3.72,4.46,2.96,,2.46,18,18,18,1,3.5,high,
239,239,0,0,1,0,1,6648,4,w,1038,1,340,10,0,0,0,0,,12.7,4.1,4.28,3.97,3.8,4.24,11,11,11,,3.5,high,
240,240,0,0,1,0,1,7047,4,w,1089,1,211,19,1,8.95,8.34,9.7,6.938,4.42,4.62,4.72,4.23,4.79,4.03,20,20,20,,3.5,high,
241,241,1,0,0,1,0,7017,4,g,1090,1,148,12,1,7.13,5.31,6.41,4.645,6.33,4.43,5.29,3.79,4.38,4.67,12,12,12,0,3.5,high,
242,242,1,0,0,1,0,9753,4,w,1463,1,268,17,1,6.47,7.14,5.07,4.059,7.3,4.8,4.87,4.64,5,5.21,17,17,17,0,3.5,high,
243,243,1,0,0,1,0,9753,4,w,1463,1,268,9,1,7.27,6.54,8.36,5.301,12.1,4.83,5.12,4.83,5.24,4.68,9,9,9,0,3.5,high,
244,244,0,0,1,0,1,11908,5,g,1740,1,202,17,0,0,0,0,,0,4.43,4.6,4.23,3.97,3.92,23,23,23,,3.5,high,FLAGGED
245,245,0,0,1,0,1,12084,5,w,1782,1,422,19,0,2.92,3.81,1.61,1.15,1.37,4.8,4.82,4.57,4.54,5.16,20,20,20,,3.5,high,
246,246,0,0,1,0,1,12084,5,w,1782,1,422,12,1,0,0,0,,12.65,4.51,4.7,4.1,5.43,3.79,17,17,17,,3.5,high,
247,247,1,0,0,1,0,12084,5,w,1782,1,422,18,1,8.81,10.66,9.6,6.444,10.7,4.33,4.78,4.33,5.12,2.93,21,21,21,0,3.5,high,
248,248,0,0,1,0,1,13096,5,g,1880,1,129,11,1,0,0,0,,12.65,5.03,5.41,4.99,5.76,5.3,11,11,11,,3.5,high,
249,249,0,0,1,0,1,13211,5,g,1885,1,211,10,1,0,0,0,,0,4.5,4.76,4.25,5.1,5.4,10,10,10,,3.5,high,FLAGGED
250,250,0,0,1,0,1,6981,3,w,1020,1,211,20,1,2.48,7.33,1.85,1.584,2.81,3.93,4.34,3.65,4.29,4.09,20,20,20,,3.1,low,
251,251,0,0,1,0,1,6981,3,w,1020,1,211,11,0,14.02,14.39,17.32,8.626,13.59,5.58,6.32,6.3,5.98,6.27,10,10,10,,3.1,low,
252,252,0,0,1,0,1,6500,3,w,1027,1,209,19,0,2.48,7.33,1.85,1.584,2.81,4.64,4.94,4.39,4.9,4.76,19,19,19,,3.1,low,
253,253,0,0,1,0,1,7905,3,w,1177,1,99,20,0,15.25,19.88,12.23,,12.97,4.64,5.53,4.21,,3.57,23,23,23,,3.1,low,
254,254,0,0,1,0,1,7904,3,g,1210,1,139,14,1,7.53,9.46,5.08,2.82,2.82,2.59,2.94,2.49,3.05,2.61,19,19,19,,3.1,low,
255,255,0,0,1,0,1,9361,3,w,1381,1,138,14,1,4.92,7.83,3.21,3.292,3.52,3.51,4.16,3.1,3.41,3.28,14,14,14,,3.1,low,
256,256,0,0,1,1,0,6502,3,g,1028,1,89,5,1,7.67,8.68,8.23,5.524,8.97,5.82,6.98,5.19,5.6,4.96,4,4,4,,3.2,low,
257,257,0,0,1,1,0,7099,3,w,1073,1,61,16,0,6.94,5.71,7,4.899,8.89,5.14,5.19,4.97,4.5,4.45,16,16,16,,3.2,low,
258,258,0,0,1,0,1,7099,3,w,1073,1,61,8,0,8.48,10.07,10.76,6.32,11.29,4.78,5.88,4.19,4.68,4.39,8,8,8,,3.2,low,
259,259,0,0,1,0,1,9573,3,g,1411,1,127,13,1,4.38,5.23,4.03,4,3.25,4.72,4.89,4,4.49,4.13,14,14,14,,3.2,low,
260,260,0,0,1,0,1,9573,3,g,1411,1,127,18,1,5.55,6.11,5.86,3.121,3.79,3.86,4.39,3.34,3.55,3.63,19,19,19,,3.2,low,
261,261,0,0,1,0,1,11488,3,w,1671,1,105,11,0,7.24,9.35,8.91,5.143,4.01,4.76,5.05,4.63,5.01,4.59,12,12,12,,3.2,low,
262,262,0,0,1,1,0,12097,4,g,1781,1,125,9,1,8.31,7.17,7.96,5.434,7.45,6.25,6.71,5.94,6.16,4.44,9,9,9,,3.2,low,
263,263,0,0,1,1,0,7243,4,w,1117,1,186,9,1,9.91,7.31,11.39,7.4,12.8,4.51,5.05,4.16,5.08,5.65,8,8,8,,4.5,high,
264,264,0,0,1,0,1,9373,4,g,1380,1,136,15,1,0,0,0,,0,3.75,4.05,3.46,3.96,3.71,15,15,15,,4.5,high,FLAGGED
265,265,0,0,1,0,1,9587,3,g,1411,1,101,19,1,6.21,8,3.93,,2.56,4.7,4.89,4.64,,3.55,24,24,24,,2,low,
266,266,0,0,1,1,0,9587,3,g,1411,1,101,20,0,6.84,6.12,5.75,,4.6,4.87,5.09,4.41,,3.98,27,27,27,,2,low,
267,267,1,0,0,1,0,11456,3,w,1668,1,60,10,0,6.46,6.3,6.46,4.572,7.09,4.42,4.72,4.14,3.64,3.56,10,10,10,,2,low,
268,268,1,0,0,0,1,12689,4,g,1826,1,107,18,1,10.73,9.53,11.05,6.382,8.33,3.55,3.56,2.96,3.15,3.15,19,19,19,0,2,low,
269,269,0,0,1,1,0,12689,4,g,1826,1,107,13,0,10.4,9.97,10.61,7.607,11.5,5.48,5.89,5.18,5.06,4.96,12,12,12,,2,low,
270,270,0,0,1,0,1,9603,3,g,1411,1,187,13,1,4.33,5.09,3.14,3.562,2.56,4.37,4.31,3.98,4.78,4.33,14,14,14,,3.2,low,
271,271,0,0,1,0,1,9603,3,g,1411,1,187,15,0,4.85,5.08,4.84,,4.48,4.68,4.92,4.84,,4.95,15,15,15,,3.2,low,
272,272,0,0,1,0,1,11752,4,w,1683,1,158,10,0,13.56,13.65,12.17,2.566,3.3,6.66,7.01,6.12,6.1,6.22,10,10,10,,4,high,
273,273,0,0,1,0,1,11732,5,g,1684,1,228,19,1,1.88,2.85,1.36,0.814,1.32,3.62,3.89,3.39,3.73,4.06,20,20,20,,4.2,high,
274,274,0,0,1,1,0,12255,5,g,1740,3,250,18,1,0.18,5.03,0.3,0.179,0,3.63,4.02,3.55,4.18,3.93,17,17,17,,4.2,high,FLAGGED
275,275,0,0,1,0,1,12253,5,w,1782,1,663,19,0,0,0,0,,0,5.26,5.16,5.05,4.73,4.88,18,18,18,,4.2,high,FLAGGED
276,276,0,0,1,1,0,12253,5,w,1782,1,663,16,1,5.65,5.44,4.16,3.662,3.98,4.49,4.96,4.46,4.41,4.42,15,15,15,,4.2,high,
277,277,0,0,1,1,0,13203,5,g,1880,1,144,10,1,0.89,0.86,1.17,0.804,0.45,5.39,5.84,5.44,5.57,5.77,10,10,10,,4.2,high,
278,278,0,0,1,1,0,13217,5,g,1885,1,166,17,1,1.32,3.32,0.79,0.477,1.11,4.72,5.51,4.39,4.19,4.12,18,18,18,,4.2,high,
279,279,0,0,1,0,1,14280,5,g,2021,1,170,20,1,10.76,8.83,11.7,5.636,10.84,4.34,4.67,4.16,4.45,4.15,19,19,19,,4.2,high,
280,280,1,0,0,1,0,11881,4,g,1711,1,262,8,1,7.75,8.04,7.92,6.053,8.06,2.61,3.21,2.44,3.5,3.83,7,7,7,0,3.6,high,
281,281,0,0,1,0,1,11923,3,w,1751,1,80,11,0,10.52,9.46,9.77,,9.32,5.92,5.84,4.73,,4.62,13,13,13,,3,low,
282,282,0,0,1,0,1,13314,3,w,1901,1,118,5,0,13.8,14.65,14.7,9.677,16.53,9.32,10.07,9.65,9.56,9.28,4,4,4,,3,low,
283,283,0,0,1,1,0,13314,3,w,1901,1,118,10,1,3.67,4.4,3.49,2.461,4.3,4.52,5.36,4.29,4.82,5.08,9,9,9,,3,low,
284,284,0,0,1,0,1,13499,3,w,1931,1,123,6,1,11.29,12.85,10.82,7.857,12.75,5.37,6.37,5.05,5.73,5.99,5,5,5,,3,low,
285,285,0,0,1,1,0,12519,4,r,1779,1,315,14,1,5.15,6.45,5.5,0.525,11.7,3.83,4.1,3.91,3.94,3.48,14,14,14,,3.8,high,
286,286,0,0,1,1,0,12519,4,r,1779,1,315,17,0,6.33,7.85,6.35,5.089,7.58,4.46,4.57,4.3,4.62,4.44,17,17,17,,3.8,high,
287,287,0,0,1,1,0,12519,4,r,1779,1,315,18,0,4.4,4.85,4.82,0.273,8.36,3.95,4.29,3.43,4.06,4.17,20,20,20,,3.8,high,
288,288,0,0,1,0,1,12519,4,r,1779,1,315,16,0,2.03,1.09,0.17,,0.21,5.12,5.06,4.25,,4.07,17,17,17,,3.8,high,
289,289,0,0,1,0,1,14625,4,r,2028,1,121,8,0,6.93,6.82,8.03,,7.23,6.55,6.89,6.54,,7.13,8,8,8,,3.8,high,
290,290,0,0,1,1,0,12229,3,w,1780,1,183,10,1,0.18,5.03,0.3,0.179,0,3.4,4.32,3.81,4.58,4.97,9,9,9,,1,low,FLAGGED
291,291,1,0,0,0,1,12996,3,w,1848,1,108,6,1,9.27,10.55,0.08,0.149,0.13,4.32,6.13,2.01,1.86,2.55,6,6,6,0,1,low,
292,292,0,0,1,0,1,12996,3,w,1848,1,108,19,0,11.91,10.12,11.54,8.695,13.85,3.97,4.21,3.81,4.01,4.03,19,19,19,,1,low,
293,293,1,0,0,0,1,12996,3,w,1848,1,108,14,0,4.89,9.63,0.98,0.061,0.32,5.24,6.07,4.58,4.74,4.88,13,13,13,,1,low,
294,294,0,0,1,1,0,13113,3,w,1881,1,103,14,1,4.51,5,5.76,3.329,4.92,3.94,4.58,3.73,3.65,3.67,14,14,14,,1,low,
295,295,0,0,1,0,1,13113,3,w,1881,1,103,15,0,12.45,13.54,11.02,6.569,11.88,5.61,5.88,5.2,5.5,5.38,14,14,14,,1,low,
296,296,1,0,0,0,1,13198,3,w,1881,2,156,13,1,4.81,9.53,0.36,0.447,0.43,3.81,5.06,3.2,3.66,3.94,12,12,12,0,1,low,
297,297,1,0,0,0,1,12608,3,w,1816,1,114,18,0,19.98,20,18.39,11.113,8.71,4.69,4.71,4.29,4.32,4.22,18,18,18,,3.5,high,
298,298,1,0,0,1,0,12950,3,w,1848,1,91,11,1,3.88,4.99,3.47,2.336,4.74,3.51,3.52,3.28,3.85,3.71,11,11,11,0,3.5,high,
299,299,1,0,0,0,1,12950,3,w,1848,1,91,8,1,6.83,6.98,6.53,4.94,6.56,4.73,5.12,5.12,5.61,5.56,7,7,7,0,3.5,high,
300,300,0,0,1,1,0,12950,3,w,1848,1,91,9,0,4.54,3.83,4.96,3.275,4.29,5.67,5.75,5.57,6.75,5.91,8,8,8,,3.5,high,
301,301,1,0,0,1,0,13068,3,w,1881,1,118,11,1,4.13,5.47,4.46,3.221,6.85,3.57,3.67,3.6,4.26,4.13,10,10,10,0,3.5,high,
302,302,0,0,1,1,0,13068,3,w,1881,1,118,9,1,4.1,3.74,4.99,3.225,3.6,4.28,4.77,4.03,4.92,4.06,8,8,8,,3.5,high,
303,303,0,0,1,0,1,15322,4,g,2214,3,156,18,1,8.75,10.19,8.78,5.433,7.66,3.48,3.9,3.03,3.52,3.12,24,24,24,,3.5,high,
304,304,0,0,1,1,0,12627,3,w,1816,1,158,19,1,6.2,6.36,5.66,2.766,5.04,3.9,4.39,3.4,3.54,3.39,21,21,21,,3.5,high,
305,305,0,0,1,0,1,12627,3,w,1816,1,158,8,0,7.96,9.34,7.92,4.315,4.91,5.91,6.26,5.88,6.32,6.36,9,9,9,,3.5,high,
306,306,1,0,0,1,0,13199,3,w,1881,1,142,7,0,5.71,5.49,5.29,3.321,4.96,5.3,5.75,4.76,5.31,5.43,6,6,6,,3.5,high,
307,307,0,0,1,1,0,13703,3,w,1936,1,213,13,1,2.27,2.87,3.13,0.938,0,5.45,6.12,5.12,4.54,4.86,13,13,13,,3.5,high,FLAGGED
308,308,0,0,1,1,0,14070,3,w,1955,1,314,7,0,1.45,1.42,1.66,,1.64,5.71,6.03,5.85,,5.87,8,8,8,,3.5,high,
309,309,0,0,1,1,0,14070,3,w,1955,1,314,10,0,0,0,0,,0,6.78,7.22,6.19,5.95,6.01,10,10,10,,3.5,high,FLAGGED
310,310,1,0,0,0,1,14331,3,w,2029,1,297,14,0,13.93,16.32,12.45,,5.63,5.37,5.73,5.17,,4.41,15,15,15,,3.5,high,
311,311,1,0,0,0,1,14645,3,w,2106,1,310,11,1,13.93,16.32,12.45,,5.63,4.16,4.38,4.15,,3.95,12,12,12,0,3.5,high,
312,312,0,1,1,0,1,12874,4,g,1826,1,342,12,1,12.02,10.46,9.07,5.226,8.89,5.67,5.78,5.34,5.7,5.41,12,12,12,1,3.3,high,
313,313,0,0,1,1,0,18318,5,g,2499,1,543,15,1,3.85,4.56,4.22,2.051,4.12,4.09,4.13,3.97,3.84,3.94,14,14,14,,3.3,high,
314,314,0,0,1,1,0,13239,4,r,1884,1,225,14,1,4.71,3.89,4.31,,3.93,3.83,4.25,3.53,,3.19,15,15,15,,4,high,
315,315,0,0,1,1,0,13239,4,r,1884,1,225,20,1,8.41,7.34,8.25,,6.58,3.32,3.53,3.41,,3.72,22,22,22,,4,high,
316,316,0,0,1,1,0,14391,4,r,2028,1,197,13,1,6.42,5.97,5.19,3.344,5.45,5.2,5.43,5.1,5.19,4.51,13,13,13,,4,high,
317,317,0,0,1,1,0,14391,4,r,2028,1,197,17,1,6.15,6.2,7.36,4.894,6.8,3.9,4.19,4.1,4.22,4.15,17,17,17,,4,high,
318,318,0,0,1,1,0,14391,4,r,2028,1,197,19,1,5.4,6.29,6.06,3.174,4.76,3.75,4.21,3.64,3.88,4.04,19,19,19,,4,high,
319,319,0,0,1,0,1,13324,4,w,1903,1,137,18,1,9.23,9.57,9.44,8.585,10.56,3.84,4.74,3.94,4.05,4.03,18,18,18,,3,low,
320,320,0,0,1,0,1,13324,4,w,1903,1,137,17,1,7.28,7.96,7.79,7.348,10.13,3.8,4.7,3.76,3.77,3.64,17,17,17,,3,low,
321,321,0,0,1,0,1,13682,5,g,1951,1,272,12,1,11.94,13.78,10.4,,8.61,3.79,4.69,3.9,,4.26,13,13,13,,4.5,high,
322,322,0,0,1,0,1,13682,5,g,1951,1,272,17,1,1.58,2.39,0.73,0.199,0.28,3.42,3.9,3.44,3.29,3.45,18,18,18,,4.5,high,
323,323,1,0,0,0,1,13682,5,g,1951,1,272,11,1,13.57,14.34,14.35,9.773,10.33,5.36,5.77,4.85,5.1,4.62,10,10,10,0,4.5,high,
324,324,0,1,1,0,1,14272,5,g,2016,1,142,14,1,7.31,6.49,3.91,,4.69,3.87,4.03,3.68,,3.29,17,17,17,1,4.5,high,
